,GeoFips,MSA,Year,Population
0,35620,"New York-Newark-Jersey City, NY-NJ-PA",2019,19216182.0
1,31080,"Los Angeles-Long Beach-Anaheim, CA",2019,13214799.0
2,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2019,9458539.0
3,19100,"Dallas-Fort Worth-Arlington, TX",2019,7573136.0
4,26420,"Houston-The Woodlands-Sugar Land, TX",2019,7066141.0
5,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2019,6280487.0
6,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",2019,6166488.0
7,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2019,6102434.0
8,12060,"Atlanta-Sandy Springs-Alpharetta, GA",2019,6020364.0
9,38060,"Phoenix-Mesa-Chandler, AZ",2019,4948203.0
10,14460,"Boston-Cambridge-Newton, MA-NH",2019,4873019.0
11,41860,"San Francisco-Oakland-Berkeley, CA",2019,4731803.0
12,40140,"Riverside-San Bernardino-Ontario, CA",2019,4650631.0
13,19820,"Detroit-Warren-Dearborn, MI",2019,4319629.0
14,42660,"Seattle-Tacoma-Bellevue, WA",2019,3979845.0
15,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2019,3640043.0
16,41740,"San Diego-Chula Vista-Carlsbad, CA",2019,3338330.0
17,45300,"Tampa-St. Petersburg-Clearwater, FL",2019,3194831.0
18,19740,"Denver-Aurora-Lakewood, CO",2019,2967239.0
19,41180,"St. Louis, MO-IL",2019,2803228.0
