,county_fips,lat,lng,MSA,GeoFips,Year,Population,Personal Income,Number Jobs,HPI
19,27053,44.9635,-93.2678,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
39,27123,44.9477,-93.104,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
59,27163,44.9056,-92.92299999999999,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
79,27037,44.6774,-93.25200000000001,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
99,27003,45.1696,-93.2077,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
119,27139,44.7744,-93.4764,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
139,27171,45.298,-93.7984,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
159,27019,44.8164,-93.6092,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
179,27141,45.3314,-93.56700000000001,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
199,55109,44.9637,-92.7316,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
219,55093,44.861000000000004,-92.6248,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
239,27059,45.5612,-93.2283,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
259,27025,45.5137,-92.9601,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2019,3640043,233890054,2565549,163.91833333333332
279,12057,27.9942,-82.4451,"Tampa-St. Petersburg-Clearwater, FL",45300,2019,3194831,156253370,1886364,227.39166666666668
299,12103,27.7931,-82.6652,"Tampa-St. Petersburg-Clearwater, FL",45300,2019,3194831,156253370,1886364,227.39166666666668
319,12053,28.4797,-82.53,"Tampa-St. Petersburg-Clearwater, FL",45300,2019,3194831,156253370,1886364,227.39166666666668
339,12101,28.2408,-82.1796,"Tampa-St. Petersburg-Clearwater, FL",45300,2019,3194831,156253370,1886364,227.39166666666668
359,6065,33.9381,-117.3948,"Riverside-San Bernardino-Ontario, CA",40140,2019,4650631,196452976,2186300,239.05083333333332
379,6071,34.5277,-117.3536,"Riverside-San Bernardino-Ontario, CA",40140,2019,4650631,196452976,2186300,239.05083333333332
399,29510,38.6358,-90.2451,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
419,29183,38.785,-90.7175,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
439,17119,38.9034,-90.1523,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
459,29189,38.7996,-90.3269,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
479,17163,38.5165,-89.99,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
499,29099,38.4296,-90.3733,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
519,29113,38.9708,-90.9715,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
539,29071,38.5514,-91.0151,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
559,17133,38.3403,-90.1538,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
579,29219,38.8187,-91.1384,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
599,17083,39.1175,-90.3271,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
619,17027,38.6138,-89.523,"St. Louis, MO-IL",41180,2019,2803228,159567017,1813241,153.99416666666667
